iter	Passed	Remaining
0	132	132689
1	135	67700
2	138	45952
3	142	35407
4	145	28940
5	148	24597
6	151	21438
7	155	19228
8	158	17434
9	161	15997
10	163	14724
11	165	13660
12	168	12815
13	170	12009
14	172	11319
15	174	10707
16	175	10144
17	176	9642
18	178	9192
19	179	8788
20	180	8428
21	182	8093
22	183	7786
23	184	7498
24	185	7240
25	186	6995
26	187	6766
27	188	6550
28	189	6351
29	190	6165
30	191	5992
31	192	5831
32	193	5672
33	194	5523
34	195	5380
35	196	5249
36	196	5123
37	197	5003
38	198	4888
39	199	4778
40	199	4672
41	200	4571
42	201	4475
43	201	4384
44	202	4297
45	203	4215
46	203	4135
47	204	4059
48	205	3986
49	206	3914
50	206	3847
51	207	3783
52	208	3722
53	209	3662
54	209	3606
55	210	3550
56	211	3497
57	212	3444
58	212	3393
59	213	3344
60	214	3296
61	214	3250
62	215	3204
63	216	3161
64	216	3118
65	217	3076
66	218	3036
67	218	2992
68	218	2954
69	219	2917
70	220	2881
71	220	2846
72	221	2811
73	222	2780
74	223	2752
75	223	2722
76	224	2691
77	225	2661
78	225	2632
79	226	2604
80	227	2577
81	227	2550
82	228	2523
83	229	2498
84	229	2471
85	230	2447
86	230	2422
87	231	2399
88	232	2376
89	232	2355
90	233	2333
91	234	2311
92	234	2290
93	235	2269
94	236	2248
95	236	2229
96	237	2209
97	237	2189
98	238	2170
99	239	2152
100	239	2133
101	240	2113
102	240	2095
103	241	2078
104	241	2061
105	242	2044
106	242	2027
107	243	2011
108	244	1996
109	244	1980
110	245	1965
111	245	1950
112	246	1935
113	247	1920
114	247	1906
115	248	1891
116	248	1877
117	249	1863
118	249	1848
119	250	1835
120	251	1823
121	251	1811
122	251	1796
123	252	1784
124	253	1771
125	253	1759
126	254	1747
127	254	1734
128	255	1723
129	255	1711
130	256	1700
131	256	1689
132	257	1678
133	258	1668
134	258	1657
135	259	1647
136	259	1636
137	260	1626
138	260	1616
139	261	1606
140	262	1596
141	262	1587
142	263	1577
143	263	1568
144	264	1559
145	265	1550
146	265	1541
147	266	1532
148	266	1524
149	267	1515
150	267	1506
151	268	1498
152	269	1490
153	269	1481
154	270	1473
155	270	1465
156	271	1457
157	272	1449
158	272	1441
159	273	1434
160	273	1426
161	274	1419
162	274	1411
163	275	1404
164	276	1397
165	276	1390
166	277	1382
167	277	1375
168	278	1369
169	279	1362
170	279	1356
171	280	1349
172	280	1342
173	281	1336
174	282	1329
175	282	1323
176	283	1317
177	283	1310
178	284	1304
179	285	1298
180	285	1291
181	285	1285
182	286	1279
183	287	1273
184	287	1267
185	288	1261
186	288	1255
187	289	1250
188	290	1244
189	290	1238
190	291	1233
191	291	1227
192	292	1222
193	292	1216
194	293	1211
195	294	1206
196	294	1201
197	295	1195
198	295	1190
199	296	1185
200	296	1180
201	297	1175
202	298	1170
203	298	1165
204	299	1160
205	299	1155
206	300	1150
207	300	1146
208	301	1141
209	302	1136
210	302	1132
211	303	1127
212	303	1122
213	304	1118
214	305	1113
215	305	1109
216	306	1105
217	306	1100
218	307	1096
219	307	1091
220	308	1087
221	309	1083
222	309	1078
223	310	1074
224	310	1070
225	311	1066
226	311	1062
227	312	1057
228	313	1053
229	313	1049
230	314	1045
231	314	1042
232	315	1038
233	315	1034
234	316	1030
235	317	1026
236	317	1022
237	318	1019
238	318	1015
239	319	1011
240	320	1007
241	320	1004
242	321	1000
243	321	997
244	322	993
245	322	989
246	323	986
247	324	982
248	324	979
249	325	975
250	325	972
251	326	968
252	326	965
253	327	961
254	328	958
255	328	954
256	329	951
257	329	948
258	330	945
259	330	941
260	331	938
261	331	935
262	332	931
263	333	928
264	333	925
265	334	922
266	335	919
267	335	916
268	336	913
269	336	910
270	337	907
271	338	904
272	338	901
273	339	898
274	339	895
275	340	892
276	340	889
277	341	886
278	342	883
279	342	881
280	343	878
281	343	875
282	344	872
283	344	869
284	345	866
285	346	864
286	346	861
287	347	858
288	347	855
289	348	853
290	349	850
291	349	847
292	350	845
293	350	842
294	351	839
295	351	837
296	352	834
297	353	831
298	353	829
299	354	826
300	354	823
301	355	821
302	355	818
303	356	816
304	357	813
305	357	811
306	358	808
307	358	806
308	359	803
309	359	801
310	360	798
311	361	796
312	361	793
313	362	791
314	363	789
315	363	787
316	364	784
317	364	782
318	365	780
319	365	777
320	366	775
321	367	772
322	367	770
323	368	768
324	368	766
325	369	763
326	369	761
327	370	759
328	371	756
329	371	754
330	372	752
331	372	750
332	373	747
333	373	745
334	374	743
335	375	741
336	375	739
337	376	737
338	377	735
339	377	732
340	378	730
341	378	728
342	379	726
343	379	724
344	380	722
345	381	720
346	381	718
347	382	716
348	382	713
349	383	711
350	383	709
351	384	707
352	384	705
353	385	703
354	386	701
355	386	699
356	387	697
357	387	695
358	388	693
359	389	691
360	389	689
361	390	688
362	390	686
363	391	684
364	392	682
365	392	680
366	393	678
367	393	676
368	394	674
369	395	672
370	395	670
371	396	669
372	396	667
373	397	665
374	398	663
375	398	661
376	399	659
377	399	657
378	400	655
379	400	654
380	401	652
381	402	650
382	402	648
383	403	646
384	403	644
385	404	643
386	405	641
387	406	640
388	406	638
389	407	637
390	408	635
391	408	634
392	409	632
393	409	630
394	410	628
395	411	627
396	411	625
397	412	623
398	412	621
399	413	620
400	413	618
401	414	616
402	415	614
